segment_id,city_name,admin_ward,latitude,longitude,catchment_id,elevation_m,dem_source,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,rainfall_source,historical_rainfall_intensity_mm_hr,return_period_years,risk_labels,drainage_efficiency,rainfall_per_return_period,simplified_risks
SEG-00001,"Colombo, Sri Lanka",Borough East,6.920633,79.9126,CAT-136,25.130000000000003,Copernicus_EEA-10_v5,Institutional,B,4.27,160.5,CurbInlet,ERA5,39.4,50,monitor,0.026439628482972134,0.7879999999999999,Low Risk
SEG-00002,"Chennai, India",Ward D,13.076487,80.281774,CAT-049,-2.19,Copernicus_EEA-10_v5,Residential,D,7.54,91.69999999999999,OpenChannel,ERA5,56.8,25,ponding_hotspot|low_lying|event_2025-05-02,0.0813376483279396,2.272,High Risk
SEG-00003,"Ahmedabad, India",Sector 12,23.019473,72.638578,CAT-023,30.88,SRTM_3arc,Industrial,B,11.0,152.5,OpenChannel,IMD,16.3,5,monitor,0.07166123778501629,3.2600000000000002,Low Risk
SEG-00004,"Hong Kong, China",Sector 14,22.302602,114.078673,CAT-168,24.28,SRTM_3arc,Residential,B,7.32,37.0,Manhole,ERA5,77.0,10,monitor,0.19263157894736843,7.7,Low Risk
SEG-00005,"Durban, South Africa",Sector 5,-29.887602,30.911008,CAT-171,35.7,SRTM_3arc,Industrial,C,4.5,292.4,OpenChannel,ERA5,20.8,5,monitor,0.015337423312883437,4.16,Low Risk
SEG-00006,"Bangkok, Thailand",Borough Harbor,13.730254,100.441634,CAT-132,15.36,Copernicus_GLO-30_v2023,Roads,C,8.97,30.0,Manhole,LocalGauge,120.5,50,extreme_rain_history,0.28935483870967743,2.41,High Risk
SEG-00007,"Nairobi, Kenya",Ward J,-1.374024,36.730491,CAT-112,15.8,Copernicus_GLO-30_v2023,Residential,A,8.25,43.0,Manhole,LocalGauge,39.3,10,monitor,0.1875,3.9299999999999997,Low Risk
SEG-00008,"Bangkok, Thailand",Zone X,13.746372,100.484051,CAT-116,20.08,SRTM_1arc,Residential,C,5.88,31.1,CurbInlet,ERA5,74.5,10,monitor,0.18317757009345792,7.45,Low Risk
SEG-00009,"Washington DC, USA",Sector 12,38.870843,-76.900953,CAT-095,0.19,Copernicus_GLO-90_v2022,Commercial,B,7.79,153.3,CurbInlet,ERA5,58.2,10,low_lying|event_2024-02-14,0.050486066104990276,5.82,Medium Risk
SEG-00010,"Vancouver, Canada",Sector 5,49.3949,-123.199393,CAT-066,19.05,SRTM_3arc,Commercial,D,6.25,49.7,GratedInlet,ERA5,20.1,5,monitor,0.12327416173570019,4.0200000000000005,Low Risk
SEG-00011,"Delhi, India",Ward J,28.544386,77.235841,CAT-032,12.22,SRTM_1arc,Roads,B,9.46,41.2,OpenChannel,ERA5,26.5,2,monitor,0.2241706161137441,13.25,Low Risk
SEG-00012,"Athens, Greece",District 18,37.915493,23.657021,CAT-069,114.17,SRTM_1arc,Residential,B,3.14,187.7,Manhole,LocalGauge,43.6,25,monitor,0.016640169581346054,1.744,Low Risk
