city_name,latitude,longitude,elevation_m,land_use,soil_group,drainage_density_km_per_km2,storm_drain_proximity_m,storm_drain_type,historical_rainfall_intensity_mm_hr,return_period_years,drainage_efficiency,rainfall_per_return_period,simplified_risks
"Colombo, Sri Lanka",6.920633,79.9126,25.130000000000003,Institutional,B,4.27,160.5,CurbInlet,39.4,50,0.026439628482972134,0.7879999999999999,Low Risk
"Chennai, India",13.076487,80.281774,-2.19,Residential,D,7.54,91.69999999999999,OpenChannel,56.8,25,0.0813376483279396,2.272,High Risk
"Ahmedabad, India",23.019473,72.638578,30.88,Industrial,B,11.0,152.5,OpenChannel,16.3,5,0.07166123778501629,3.2600000000000002,Low Risk
"Hong Kong, China",22.302602,114.078673,24.28,Residential,B,7.32,37.0,Manhole,77.0,10,0.19263157894736843,7.7,Low Risk
"Durban, South Africa",-29.887602,30.911008,35.7,Industrial,C,4.5,292.4,OpenChannel,20.8,5,0.015337423312883437,4.16,Low Risk
"Bangkok, Thailand",13.730254,100.441634,15.36,Roads,C,8.97,30.0,Manhole,120.5,50,0.28935483870967743,2.41,High Risk
"Nairobi, Kenya",-1.374024,36.730491,15.8,Residential,A,8.25,43.0,Manhole,39.3,10,0.1875,3.9299999999999997,Low Risk
"Bangkok, Thailand",13.746372,100.484051,20.08,Residential,C,5.88,31.1,CurbInlet,74.5,10,0.18317757009345792,7.45,Low Risk
"Washington DC, USA",38.870843,-76.900953,0.19,Commercial,B,7.79,153.3,CurbInlet,58.2,10,0.050486066104990276,5.82,Medium Risk
"Vancouver, Canada",49.3949,-123.199393,19.05,Commercial,D,6.25,49.7,GratedInlet,20.1,5,0.12327416173570019,4.0200000000000005,Low Risk
"Delhi, India",28.544386,77.235841,12.22,Roads,B,9.46,41.2,OpenChannel,26.5,2,0.2241706161137441,13.25,Low Risk
"Athens, Greece",37.915493,23.657021,114.17,Residential,B,3.14,187.7,Manhole,43.6,25,0.016640169581346054,1.744,Low Risk
"Sydney, Australia",-33.930529,151.140718,-3.0,Commercial,B,10.62,70.9,CurbInlet,18.5,5,0.1477051460361613,3.7,Medium Risk
"Athens, Greece",38.054642,23.718257,18.54,Commercial,B,9.08,248.0,OpenChannel,29.1,10,0.036465863453815264,2.91,Low Risk
"Nairobi, Kenya",-1.263708,36.869893,88.57,Commercial,B,4.86,105.1,CurbInlet,32.1,50,0.04580584354382659,0.642,Low Risk
"Miami, USA",25.727376,-80.21539,13.43,Green,A,3.45,53.3,OpenChannel,52.6,25,0.06353591160220995,2.104,Low Risk
"Lima, Peru",-12.041346,-77.085898,8.99,Commercial,B,9.23,128.4,CurbInlet,41.3,5,0.07132921174652242,8.26,Low Risk
"Miami, USA",25.76789,-80.255953,3.29,Residential,D,7.63,153.6,CurbInlet,95.3,10,0.049353169469598966,9.53,High Risk
"Hong Kong, China",22.216858,114.128052,15.75,Roads,B,8.77,145.3,CurbInlet,82.8,25,0.05994531784005468,3.312,High Risk
"Kuala Lumpur, Malaysia",3.140932,101.706156,67.05,Industrial,A,9.23,118.7,OpenChannel,63.6,25,0.077109440267335,2.544,Low Risk
"Singapore, Singapore",1.387557,103.790327,25.130000000000003,Roads,D,5.23,39.1,Manhole,63.6,25,0.13042394014962594,2.544,Low Risk
"Rome, Italy",41.945883,12.423044,31.58,Green,C,4.72,58.2,OpenChannel,30.0,2,0.07972972972972972,15.0,Low Risk
"Chennai, India",13.171312,80.196503,25.130000000000003,Green,C,4.39,159.7,GratedInlet,53.6,10,0.02731798382078407,5.36,Low Risk
"Brisbane, Australia",-27.476021,153.101193,33.74,Roads,C,7.6,91.2,GratedInlet,26.2,25,0.08242950108459869,1.048,Low Risk
